P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(0,-2,3,-3,0,-3,0)","(2,1,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(0,3,-3,2,-1,-2,-3)","(3,1,2,0,-3,-3,-3)",1.0862787842442809,1/(e*pi),4,4,3
"(0,-3,3,-2,1,2,3)","(3,1,2,0,-3,-3,-3)",-1.0862787842442809,1/(e*pi),-4,4,-3
"(3,-2,-2,0,3,3,3)","(-2,2,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,1,0,-3,-3,-3,0)","(0,2,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,2,2,0,-3,-3,-3)","(2,2,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(-1,-3,-1,0,-3,0,0)","(2,2,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,-3,-2,0,3,3,3)","(-2,3,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,3,2,0,-3,-3,-3)","(2,3,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(-1,-1,2,0,-3,3,-3)","(2,3,2,0,-3,-3,-3)",2.0000000000000009,sqrt(2),2,1,-999
"(0,1,-1,-3,-3,0,0)","(2,3,2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,3,-3,0,3,3,3)","(-2,-3,3,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,-3,3,0,-3,-3,-3)","(2,-3,3,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,2,-3,0,3,3,3)","(-2,-2,3,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,-2,0,3,3,3,0)","(0,-2,3,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,-2,3,0,-3,-3,-3)","(2,-2,3,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,0,3,0,3,0,-3)","(2,-2,3,0,-3,-3,-3)",2.2990381056737617,sqrt(3),4,4,3
"(-3,0,-3,0,-3,0,3)","(2,-2,3,0,-3,-3,-3)",-2.2990381056737617,sqrt(3),-4,4,-3
